Date;NH Budget;NH Actual;Sales Bud;Sales Act ; Sales Actual/Budget;NH Actual/Budget;Efficiency Bud ;Efficiency Act;Efficiency Actual/Budget;Production Calendar;Customer Calendar;ADC Calendar;Customer Consumption Last 12 week;Stock Plant : TIC Tool;CLIENT FORCAST S1;HC DIRECT;HC INDIRECT;ABS P;ABS NP;FLUCTUATION
01/01/2020;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;;;;;;13992,00;;;;;
08/01/2020;29852,23;34812,97;;;0,00;0,17;0,77;0,75;-0,02;;;;;;11678,00;;;;;
15/01/2020;23437,22;27331,94;;;0,00;0,17;0,77;0,85;0,10;;;;;;14336,00;;;;;
22/01/2020;28391,74;33109,79;;;0,00;0,17;0,77;0,92;0,19;;;;;;14195,00;;;;;
29/01/2020;25083,45;29251,73;2644932,00;3007360,00;0,14;0,17;0,77;0,87;0,12;;;;;;13787,00;;;;;
05/02/2020;28079,99;31727,17;;;0,00;0,13;0,79;0,88;0,12;;;;;;17253,00;;;;;
12/02/2020;30525,54;34490,37;;;0,00;0,13;0,79;0,91;0,14;;;;;;20099,00;;;;;
19/02/2020;29375,40;33190,84;;;0,00;0,13;0,79;0,86;0,08;;;;;;16488,00;;;;;
26/02/2020;28874,90;32625,34;2891421,00;3301209,00;0,14;0,13;0,79;0,87;0,10;;;;;;15226,00;;;;;
04/03/2020;51987,83;33430,50;;;0,00;-0,36;0,79;0,86;0,09;;;;;;16088,00;;;;;
11/03/2020;52771,84;33934,66;;;0,00;-0,36;0,79;0,86;0,10;;;;;;16008,00;;;;;
18/03/2020;24682,22;15871,78;;;0,00;-0,36;0,79;0,86;0,10;;;;;;15809,00;;;;;
25/03/2020;0,00;0,00;3180114,00;2026235,00;-0,36;0,00;0,82;;-1,00;;;;;;0,00;;;;;
01/04/2020;19831,49;0,00;;;0,00;-1,00;0,82;;-1,00;;;;;;0,00;;;;;
08/04/2020;19831,49;0,00;;;0,00;-1,00;0,82;;-1,00;;;;;;0,00;;;;;
15/04/2020;19831,49;0,00;;;0,00;-1,00;0,82;;-1,00;;;;;;0,00;;;;;
22/04/2020;19831,49;0,00;;;0,00;-1,00;0,82;;-1,00;;;;;;0,00;;;;;
29/04/2020;19831,49;0,00;2480573,00; -   ;-1,00;-1,00;0,82;;-1,00;;;;;;0,00;;;;;
06/05/2020;14894,13;5487,95;;;0,00;-0,63;0,82;0,41;-0,50;;;;;;3,00;;;;;
13/05/2020;40089,08;14771,37;;;0,00;-0,63;0,82;0,76;-0,08;;;;;;126,00;;;;;
20/05/2020;23563,79;8682,40;;;0,00;-0,63;0,82;0,83;0,01;;;;;;353,00;;;;;
27/05/2020;35879,61;13220,33;2849649,00;1091004,00;-0,62;-0,63;0,82;0,87;0,06;;;;;;8571,00;;;;;
03/06/2020;28840,78;27888,28;;;0,00;-0,03;0,82;0,87;0,07;;;;;;18404,00;;;;;
10/06/2020;29182,84;28219,05;;;0,00;-0,03;0,82;0,84;0,02;;;;;;10786,00;;;;;
17/06/2020;28720,15;27771,63;;;0,00;-0,03;0,82;0,85;0,03;;;;;;25197,00;;;;;
24/06/2020;36109,36;34916,81;3018669,00;2864453,00;-0,05;-0,03;0,82;0,81;-0,01;;;;;;22632,00;;;;;
01/07/2020;30426,59;17348,07;;;0,00;-0,43;0,79;0,89;0,13;;;;;;29262,00;;;;;
08/07/2020;40120,24;22875,01;;;0,00;-0,43;0,79;0,81;0,03;;;;;;30256,00;;;;;
15/07/2020;27830,59;15867,93;;;0,00;-0,43;0,79;0,71;-0,10;;;;;;19630,00;;;;;
22/07/2020;22750,07;12971,21;;;0,00;-0,43;0,79;0,78;-0,01;;;;;;8738,00;;;;;
29/07/2020;0,00;0,00;3015751,00;1758592,00;-0,42;0,00;;0,00;0,00;;;;;;4696,00;;;;;
05/08/2020;0,00;0,00;;;0,00;0,00;;0,00;0,00;;;;;;5805,00;;;;;
12/08/2020;2768,79;5603,49;;;0,00;1,02;0,75;0,76;0,01;;;;;;6232,00;;;;;
19/08/2020;11493,82;23261,22;;;0,00;1,02;0,75;0,76;0,01;;;;;;9391,00;;;;;
26/08/2020;16190,32;32766,02;825831,00;1400747,00;0,70;1,02;0,75;0,76;0,01;;;;;;12172,00;;;;;
02/09/2020;11600,20;19063,88;;;0,00;0,64;0,78;0,78;0,00;;;;;;18959,00;;;;;
09/09/2020;15452,89;25395,43;;;0,00;0,64;0,78;0,79;0,01;;;;;;23747,00;;;;;
16/09/2020;14393,11;23653,77;;;0,00;0,64;0,78;0,78;0,00;;;;;;25075,00;;;;;
23/09/2020;27732,01;45575,04;;;0,00;0,64;0,78;0,82;0,05;;;;;;25367,00;;;;;
30/09/2020;8506,86;13980,25;1876689,00;2662787,00;0,42;0,64;0,80;0,82;0,03;;;;;;28256,00;;;;;
07/10/2020;29719,38;32137,85;;;0,00;0,08;0,80;0,82;0,02;;;;;;26835,00;;;;;
14/10/2020;30381,22;32853,55;;;0,00;0,08;0,80;0,82;0,03;;;;;;27286,00;;;;;
21/10/2020;29827,73;32255,01;;;0,00;0,08;0,80;0,82;0,03;;;;;;24795,00;;;;;
28/10/2020;26955,62;29149,19;2867442,00;3444081,00;0,20;0,08;0,80;0,83;0,04;;;;;;25032,00;;;;;
04/11/2020;28521,43;32280,22;;;0,00;0,13;0,80;0,83;0,03;;;;;;24607,00;;;;;
